title,year,director,genre,synopsis,cover_url,copies_total,copies_available,rental_price,is_active,notes
BLACK SUN,,,"ECLIPSE, CRITERION",,,1,1,3.00,true,Format: DVD
BLACK SUNDAY - ITALIAN,,,"HORROR, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BLACK SWAN,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BLAISE PASCAL - FRENCH,,,"ECLIPSE, CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BLAME IT ON FIDEL! - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BLAST OF SILENCE,,,CRITERION,,,1,1,3.00,true,Format: DVD
BLAZING SADDLES,,,CULT CLASSICS,,,1,1,3.00,true,Format: DVD
BLIND SIDE THE,,,AWARD WINNER,,,1,1,3.00,true,Format: BLU-RAY
BLITHE SPIRIT,,,CRITERION,,,1,1,3.00,true,Format: DVD
BLOB THE,,,CRITERION,,,1,1,3.00,true,Format: DVD
BLOOD OF A POET THE - FRENCH X2,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BLOW-UP,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BLU-RAY,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BLUE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BLUE IS THE WARMEST COLOR - FRENCH,,,"AWARD WINNER, CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: BLU-RAY
BLUE JASMINE,,,AWARD WINNER,,,1,1,3.00,true,Format: BLU-RAY
BOB LE FLAMBEUR - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BOHEMIAN RHAPSODY,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BON VOYAGE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BONNIE AND CLYDE,,,"AWARD WINNER, CLASSIC",,,1,1,3.00,true,Format: DVD
BORDER RADIO,,,CRITERION,,,1,1,3.00,true,Format: DVD
BORN INTO BROTHELS,,,"AWARD WINNER, DOCUMENTARY",,,1,1,3.00,true,Format: DVD
BORN ON THE FOURTH OF JULY,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BORN YESTERDAY (1950),1950,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BOTTLE ROCKET,,,CRITERION,,,1,1,3.00,true,Format: DVD | Keywords: WES ANDERSON
BOTTLE SHOCK,,,DRAMEDY,,,1,1,3.00,true,Format: DVD
BOUDU SAVED FROM DROWNING - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BOWLING FOR COLUMBINE,,,"AWARD WINNER, DOCUMENTARY",,,1,1,3.00,true,Format: DVD
BOYS DON'T CRY,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BRAIN THE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BRAND UPON THE BRAIN!,,,CRITERION,,,1,1,3.00,true,Format: DVD
BRANDED TO KILL - JAPANESE,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BRAVE,,,,,,1,1,3.00,true,Format: DVD
BRAVE,,,,,,1,1,3.00,true,Format: BLU-RAY
BRAVEHEART,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BRAZIL,,,CRITERION,,,1,1,3.00,true,Format: DVD
BREAKFAST AT TIFFANY'S,,,CLASSIC,,,1,1,3.00,true,Format: DVD
BREAKFAST CLUB THE,,,DRAMEDY,,,1,1,3.00,true,Format: DVD
BREATHLESS(1959) - FRENCH,1959,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BRIDESMAID THE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BRIDGE ON THE RIVER KWAI,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BRIDGE THE(2000) - FRENCH,2000,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BRIGHTER SUMMER DAY A - MANDARIN,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BRIGITTE BARDOT: NAUGHTY GIRL / COME DANCE WITH ME / LOVE ON A PILLOW / TWO WEEKS IN SEPTEMBER / VIXEN THE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BROADCAST NEWS,,,CRITERION,,,1,1,3.00,true,Format: DVD
BROADWAY MELODY THE,,,"AWARD WINNER, MUSICAL",,,1,1,3.00,true,Format: DVD
BROKEBACK MOUNTAIN,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BROTHERHOOD OF THE WOLF - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BROTHERS WARNER THE,,,DOCUMENTARY,,,1,1,3.00,true,Format: DVD | Keywords: FILM
BROWNING VERSION THE,,,CRITERION,,,1,1,3.00,true,Format: DVD
BRUTE FORCE,,,CRITERION,,,1,1,3.00,true,Format: DVD
BURDEN OF DREAMS,,,CRITERION,,,1,1,3.00,true,Format: DVD
BURMESE HARP THE - JAPANESE,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BURNT BY THE SUN - RUSSIAN,,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
"BUSTER KEATON COLLECTION VOL 2, THE",,,,,,1,1,3.00,true,Format: BLU-RAY
BUTCH CASSIDY AND THE SUNDANCE KID,,,WESTERN,,,1,1,3.00,true,Format: DVD
BUTTERFIELD 8,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BY BRAKHAGE: AN ANTHOLOGY VOL 1,,,CRITERION,,,1,1,3.00,true,Format: DVD
BY BRAKHAGE: AN ANTHOLOGY VOL 2,,,CRITERION,,,1,1,3.00,true,Format: DVD
CABARET,,,"AWARD WINNER, MUSICAL",,,1,1,3.00,true,Format: DVD
CABINET OF DR. CALIGARI THE,,,,,,1,1,3.00,true,Format: BLU-RAY
CAESAR AND CLEOPATRA,,,"ECLIPSE, CRITERION",,,1,1,3.00,true,Format: DVD
CAFE AU LAIT - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CALVAIRE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CANTERBURY TALES THE - ITALIAN,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
CAPOTE,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
CAPRICIOUS SUMMER / JOKE THE,,,"ECLIPSE, CRITERION",,,1,1,3.00,true,Format: DVD
CARLOS,,,CRITERION,,,1,1,3.00,true,Format: DVD
CARNAGE,,,COMEDY,,,1,1,3.00,true,Format: DVD
CARNIVAL OF SOULS,,,CRITERION,,,1,1,3.00,true,Format: DVD
CAROLE LOMBARD: GLAMOUR COLLECTION,,,CLASSIC,,,1,1,3.00,true,Format: DVD
CARTESIUS - ITALIAN,,,"ECLIPSE, CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
CASABLANCA,,,"AWARD WINNER, CLASSIC",,,1,1,3.00,true,Format: DVD
CASANOVA BROWN,,,CLASSIC,,,1,1,3.00,true,Format: DVD
CASQUE D'OR - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
CASTLE IN THE SKY,,,"MIYAZAKI, STUDIO, STUDIO GHIBLI",,,1,1,3.00,true,Format: DVD
CAT IN PARIS A - FRENCH / ENGLISH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CATHERINE DENEUVE: MANON 70 / LE CHOC / LE SAUVAGE / HOTEL DES MERIQUES / FORT SAGANNE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CERTAIN WOMEN,,,CRITERION,,,1,1,3.00,true,Format: DVD
CERTIFIED COPY,,,CRITERION,,,1,1,3.00,true,Format: DVD
CHAINS - ITALIAN,,,"ECLIPSE, CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
CHANGE OF PLANS - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CHANGING TIMES - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CHAOS - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CHARACTER - DUTCH,,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
CHARADE,,,CRITERION,,,1,1,3.00,true,Format: DVD
CHARLIE AND THE CHOCOLATE FACTORY / WILLY WONKA & THE CHOCOLATE FACTORY,,,FAMILY,,,1,1,3.00,true,Format: BLU-RAY
CHARLY,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
CHARULATA - BENGALI,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
CHASING AMY,,,CRITERION,,,1,1,3.00,true,Format: DVD
CHE - SPANISH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
CHEF,,,,,,1,1,3.00,true,Format: BLU-RAY
CHILDREN ARE WATCHING US THE - ITALIAN,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
CHILDREN OF PARADISE - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
CHILDREN OF THE CENTURY - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CHIMES AT MIDNIGHT,,,CRITERION,,,1,1,3.00,true,Format: DVD
CHINATOWN,,,"AWARD WINNER, FILM NOIR",,,1,1,3.00,true,Format: DVD
CHINESE PUZZLE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CHOCOLAT - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CHRISTMAS TALE A - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD | Keywords: HOLIDAY
CHRONICLE OF A SUMMER - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
CHUCK JONES COLLECTION,,,"CARTOONS, FAMILY",,,1,1,3.00,true,Format: DVD
